,year,county_name,state_name,AREA.PLANTED,PRODUCTION,AREA.HARVESTED,YIELD,week,stage,percentage,overlapping,percentage_overlap,condition_class,condition_score,weekly_dayl,weekly_prcp,weekly_srad,weekly_swe,weekly_tmax,weekly_tmin,weekly_vp,Longitude,Latitude
0,1980,adams_illinois,ILLINOIS,126800.0,4070000.0,126000.0,-2.06315789473684,19,PCT PLANTED,29,NONE,0,NONE,0.0,50437.5118343773,0.458796373884454,461.549528580067,0.0,23.5375344179916,8.38260034428774,1043.9410761696,-91.2119625,39.9786775349858
1,1980,adams_illinois,ILLINOIS,126800.0,4070000.0,126000.0,-2.06315789473684,20,PCT PLANTED,51,NONE,0,NONE,0.0,51264.2028522038,8.885712819588,319.95141237909,0.0,20.7114927627911,10.2203200240954,1250.95738194565,-91.2119625,39.9786775349858
2,1980,adams_illinois,ILLINOIS,126800.0,4070000.0,126000.0,-2.06315789473684,21,PCT PLANTED,73,NONE,0,NONE,0.0,51982.9601920485,1.08261063390869,381.293222745088,0.0,24.4598010262506,13.2911933345556,1521.95261809562,-91.2119625,39.9786775349858
3,1980,adams_illinois,ILLINOIS,126800.0,4070000.0,126000.0,-2.06315789473684,22,PCT PLANTED,73,NONE,0,NONE,0.0,52574.6957570142,6.91576770605103,367.964940870828,0.0,29.8030394535677,17.3420039269714,1976.26369463793,-91.2119625,39.9786775349858
4,1980,adams_illinois,ILLINOIS,126800.0,4070000.0,126000.0,-2.06315789473684,23,PCT PLANTED,96,NONE,0,NONE,0.0,53021.6854120084,5.71558098380573,356.735580379278,0.0,28.7007542220146,17.6268880126699,2046.96061740717,-91.2119625,39.9786775349858
5,1980,adams_illinois,ILLINOIS,126800.0,4070000.0,126000.0,-2.06315789473684,24,PCT PLANTED,99,NONE,0,NONE,0.0,53309.214422591,1.29247390289746,447.710269701209,0.0,28.6277108530588,14.2489463335975,1645.62027909443,-91.2119625,39.9786775349858
6,1980,adams_illinois,ILLINOIS,126800.0,4070000.0,126000.0,-2.06315789473684,25,PCT PLANTED,99,NONE,0,NONE,0.0,53427.1720340833,0.0658054399244986,468.090019719994,0.0,26.439444253048,12.4793472179038,1457.69068294526,-91.2119625,39.9786775349858
7,1980,adams_illinois,ILLINOIS,126800.0,4070000.0,126000.0,-2.06315789473684,26,PCT PLANTED,99,NONE,0,NONE,0.0,53371.2543092226,1.11576133399902,391.535995549205,0.0,32.0997985786563,19.6181524212703,2292.65748711277,-91.2119625,39.9786775349858
8,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,19,PCT PLANTED,7,NONE,0,NONE,0.0,50184.1722481086,7.89403381289235,332.60351535355,0.0,17.3595143378701,7.81319431724632,1090.67452214603,-91.2119625,39.9786775349858
9,1981,adams_illinois,ILLINOIS,130500.0,4644700.0,129000.0,1.78421052631579,20,PCT PLANTED,8,NONE,0,NONE,0.0,51038.175566076,11.9460210705732,382.832791661153,0.0,18.3451242413249,6.85905807493248,1005.14820747478,-91.2119625,39.9786775349858
